Name,Temple Code,Numeric Code,,,,,,,,
HERMOSILLO SONORA MEXICO,HERMO,86,,Hermosillo Sonora,,,0,Hermosillo Sonora,1/0/1900,0
HONG KONG CHINA,HKONG,56,,Hong Kong,5/28/1996,,0,Hong Kong,5/28/1996,0
HOUSTON TEXAS,HOUST,71,,Houston Texas,,,0,Houston Texas,1/0/1900,0
IDAHO FALLS IDAHO,IFALL,12,IF,Idaho Falls,12/3/1945,,IF,Idaho Falls,12/3/1945,0
JOHANNESBURG SOUTH AFRICA,JOHAN,37,JO,Johannesburg South Africa,8/26/1985,,JO,Johannesburg South Africa,8/26/1985,0
JORDAN RIVER UTAH,JRIVE,25,JR,Jordan River,12/1/1981,,JR,Jordan River,12/1/1981,0
KIEV UKRAINE,KIEV,83,,Kiev Ukraine,,,0,Kiev Ukraine,1/0/1900,0
KONA HAWAII,KONA,81,,Kailua Kona Hawaii,,,0,Kailua Kona Hawaii,1/0/1900,0
LOS ANGELES CALIFORNIA,LANGE,14,LA,Los Angeles,3/24/1956,,LA,Los Angeles,3/24/1956,0
LIMA PERU,LIMA,38,LI,Lima Peru,1/10/1986,,LI,Lima Peru,1/10/1986,0
LOGAN UTAH,LOGAN,6,LG,Logan,5/21/1884,,LG,Logan,5/21/1884,0
LONDON ENGLAND,LONDO,16,LD,London,9/10/1958,,LD,London,9/10/1958,0
LOUISVILLE KENTUCKY,LOUIS,108,,Louisville Kentucky,,,0,Louisville Kentucky,1/0/1900,0
LUBBOCK TEXAS,LUBBO,123,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LAS VEGAS NEVADA,LVEGA,49,LV,Las Vegas Nevada,12/19/1989,,LV,Las Vegas Nevada,12/19/1989,0
MADRID SPAIN,MADRI,59,,Madrid Spain,,,0,Madrid Spain,1/0/1900,0
MANHATTAN  NEW YORK,MANHA,130,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MANILA PHILIPPINES,MANIL,39,MA,Manila Philippines,12/27/1984,,MA,Manila Philippines,12/27/1984,0
MANTI UTAH,MANTI,7,MT,Manti,5/29/1888,,MT,Manti,5/29/1888,0
MEDFORD OREGON,MEDFO,107,,Medford Oregon,,,0,Medford Oregon,1/0/1900,0
MELBOURNE AUSTRALIA,MELBO,102,,Melbourne Australia,,,0,Melbourne Australia,1/0/1900,0
MEMPHIS TENNESSEE,MEMPH,97,,Memphis Tennessee,,,0,Memphis Tennessee,1/0/1900,0
MERIDA MEXICO,MERID,98,,Mérida Yucatán,,,0,Mérida Yucatán,1/0/1900,0
MEXICO CITY MEXICO,MEXIC,23,MX,Mexico City,12/5/1983,,MX,Mexico City,12/5/1983,0
MONTEVIDEO URUGUAY,MNTVD,100,,Montevideo Uruguay,,,0,Montevideo Uruguay,1/0/1900,0
MONTERREY MEXICO,MONTE,67,,Monterrey Mexico,,,0,Monterrey Mexico,1/0/1900,0
MONTICELLO UTAH,MONTI,74,,Monticello Utah,,,0,Monticello Utah,1/0/1900,0
MONTREAL QUEBEC,MONTR,90,,Montréal Québec,,,0,Montréal Québec,1/0/1900,0
