SACRAMENTO CALIFORNIA,SACRA,128,,,
SANTIAGO CHILE,SANTI ,32,,,
SAN ANTONIO TEXAS,SANTO,129,,,
SAN DIEGO CALIFORNIA,SDIEG,47,SA,4/27/1997,
SANTO DOMINGO DOM. REP.,SDOMI,60,,,
SEATTLE WASHINGTON,SEATT,24,SE,11/23/1984,
SEOUL SOUTH KOREA,SEOUL,40,SO,12/15/1989,
ST. GEORGE UTAH,SGEOR,5,SG,1/9/1877,
SAN JOSE COSTA RICA,SJOSE,111,,,
SALT LAKE,SLAKE,8,SL,5/23/1893,
ST. LOUIS MISSOURI,SLOUI ,54,,,
SNOWFLAKE ARIZONA,SNOWF,124,,,
SAO PAULO BRAZIL,SPAUL,21,SP,11/1/1982,
ST. PAUL MINNESOTA,SPMIN,88,,,
SPOKANE WASHINGTON,SPOKA,93,,,
STOCKHOLM SWEDEN,STOCK,41,ST,6/3/1989,
SUVA FIJI,SUVA,78,,,
BERN SWITZERLAND,SWISS,13,SW,9/17/1959,
SYDNEY AUSTRALIA,SYDNE,29,SD,9/25/1988,
TAIPEI TAIWAN,TAIPE,44,TP,11/20/1988,
TAMPICO MEXICO,TAMPI,85,,,
TUXTLA GUTIERREZ MEXICO,TGUTI,106,,,
TOKYO JAPAN,TOKYO,22,TK,10/31/1984,
TORONTO ONTARIO ,TORON,50,TR,8/26/1994,
VERACRUZ MEXICO,VERAC,115,,,
VERNAL UTAH,VERNA,61,,11/6/2001,
VILLAHERMOSA MEXICO,VILLA,101,,,
WASHINGTON D.C.,WASHI,20,WA,11/24/1978,
WINTER QUARTERS NEBRASKA,WINTE,118,,,
